Row #,Species,Count,Location,S/P,Date,LocID,SubID
2561,Golden-winged Manakin,1,Milpe Bird Sanctuary,EC-P,24 Dec 2008,L493675,S4397695
2562,White-bibbed Manakin,4,RN Bellavista,CO-CAL,29 Jun 2011,L4465017,S8493272
2563,Black Manakin,2,Senda Cerro Guacamaya,CO-VAU,09 Jun 2011,L1193326,S8408935
2564,Green Manakin,1,Upper Loreto Road (800-1400 m),EC-N,23 Nov 2008,L468856,S4346724
2565,Blue-crowned Manakin,5,La Selva Lodge,EC-U,18 Dec 2008,L471722,S4374955
2566,Cerulean-capped Manakin,1,Villa Rica,PE-PAS,21 Nov 2009,L846537,S5877053
2567,Orange-crowned Manakin,1,RN Allpahuayo Mishana,PE-LOR,29 Dec 2009,L3633118,S5994203
2568,Yellow-crowned Manakin,1,Camino Mitù,CO-VAU,10 Jun 2011,L1193330,S8408937
2569,White-collared Manakin,,PN Arenal,CR-A,10 Jan 2006,L325849,S3704822
2570,Golden-collared Manakin,1,Sendero Ibe Igar,PA-KY,18 Mar 2009,L473673,S4765938
2571,White-bearded Manakin,4,Rio Silanche Bird Sanctuary,EC-P,24 Dec 2008,L1396974,S4397681
2572,Wire-tailed Manakin,4,La Selva Lodge,EC-U,19 Dec 2008,L471722,S4374956
2573,Band-tailed Manakin,1,Quebrada Upaquihua,PE-SAM,01 Jan 2010,L863240,S6083584
2574,Club-winged Manakin,3,Milpe Bird Sanctuary,EC-P,27 Dec 2008,L493675,S4397696
2575,Striped Manakin,4,La Selva Lodge,EC-U,18 Dec 2008,L471722,S4374955
2576,Fiery-capped Manakin,4,Waqanki/Quebrada Mishquiyaquillo--Senda Cresta (Trail to Ridge),PE-SAM,19 Dec 2009,L1652750,S5980297
2577,White-crowned Manakin,1,La Selva Lodge,EC-U,18 Dec 2008,L471722,S4374955
2578,Red-capped Manakin,3,Pipeline Road  (Camino del Oleoducto) General area,PA-3,24 Mar 2009,L454711,S4785287
2579,Golden-headed Manakin,5,La Selva Lodge,EC-U,18 Dec 2008,L471722,S4374955
2580,Red-headed Manakin,1,Riberalta--Pampa San Lorenzo,BO-B,30 Aug 2013,L2339144,S15050530
2581,Wing-barred Piprites,1,Waqanki/Quebrada Mishquiyaquillo--Senda Cresta (Trail to Ridge),PE-SAM,19 Dec 2009,L1652750,S5980297
2582,Black-tailed Tityra,1,La Selva Lodge,EC-U,20 Dec 2008,L471722,S4374957
2583,Black-crowned Tityra,,PN Carara,CR-P,02 Jan 2006,L447761,S3704826
2584,Masked Tityra,2,Upper Loreto Road (800-1400 m),EC-N,28 Nov 2008,L468856,S4346725
2585,Northern Schiffornis,5,Reserva Mangaloma,EC-P,28 Dec 2010,L600104,S7323416
2586,Brown-winged Schiffornis,1,Cerro Urania,CO-VAU,08 Jun 2011,L1193327,S8408934
2587,Cinereous Mourner,1,Yasuni Biological Research Station,EC-D,12 Jan 2011,L685430,S7430525
2588,White-browed Purpletuft,1,RN Allpahuayo Mishana,PE-LOR,29 Dec 2009,L3633118,S5994203
2589,Green-backed Becard,1,Villa Rica,PE-PAS,21 Nov 2009,L846537,S5877053
2590,Barred Becard,2,Yanayacu Biological Station,EC-N,22 Nov 2008,L471438,S4346732
2591,Slaty Becard,1,Quebrada El Limón (Valqui E4.2),PE-PIU,11 Jan 2010,L493316,S6084055
2592,Cinereous Becard,1,Contamana Airport,PE-LOR,06 Dec 2009,L4820436,S30874218
2593,Cinnamon Becard,,PN Arenal,CR-A,11 Jan 2006,L325849,S3704819
2594,Chestnut-crowned Becard,1,Cerro Urania,CO-VAU,08 Jun 2011,L1193327,S8408934
2595,White-winged Becard,1,La Selva Lodge,EC-U,18 Dec 2008,L471722,S4374955
2596,Black-and-white Becard,1,Rio Silanche Bird Sanctuary,EC-P,24 Dec 2008,L1396974,S4397681
2597,Black-capped Becard,3,RN Allpahuayo Mishana,PE-LOR,28 Dec 2009,L3633118,S5994202
2598,Rose-throated Becard,,PN Carara,CR-P,01 Jan 2006,L447761,S3704816
2599,One-colored Becard,1,San Miguel de Los Bancos--Mirador Rio Blanco,EC-P,24 Dec 2008,L627341,S4397727
2600,Pink-throated Becard,1,Riberalta--Hamburgo,BO-B,29 Aug 2013,L2337822,S15043890
2601,Albert's Lyrebird,1,Lamington National Park--Duck Creek Rd,AU-QLD,27 Nov 2017,L930521,S40770843
2602,Superb Lyrebird,2,"Jamberoo Mountain Road, Jamberoo AU-NSW (-34.6711,150.7300)",AU-NSW,09 Dec 2017,L6545141,S40984131
2603,Spotted Catbird,5,Cassowary House (Kuranda),AU-QLD,28 Nov 2017,L920581,S40782662
2604,Green Catbird,6,O'Reilly's Rainforest Retreat,AU-QLD,25 Nov 2017,L921568,S40720634
2605,Tooth-billed Catbird,7,Mt Lewis--clearing,AU-QLD,30 Nov 2017,L1173452,S40815359
2606,Golden Bowerbird,1,Mt Hypipamee National Park--road between highway and carpark,AU-QLD,29 Nov 2017,L3938839,S40795658
2607,Regent Bowerbird,5,O'Reilly's Rainforest Retreat,AU-QLD,25 Nov 2017,L921568,S40720634
2608,Satin Bowerbird,5,O'Reilly's Rainforest Retreat,AU-QLD,25 Nov 2017,L921568,S40720634
2609,Great Bowerbird,5,Granite Gorge Nature Park,AU-QLD,29 Nov 2017,L3324785,S40799377
2610,White-throated Treecreeper,3,Gold Creek Reservoir,AU-QLD,25 Nov 2017,L976352,S40714707
2611,Red-browed Treecreeper,1,Toolangi State Forest--Wirrawilla Rainforest,AU-VIC,07 Dec 2017,L2301671,S40948356
2612,Brown Treecreeper,4,Hattah-Kulkyne National Park--Nowingi Track,AU-VIC,04 Dec 2017,L1836621,S40896383
2613,Striated Grasswren,2,Hattah-Kulkyne National Park--Nowingi Track,AU-VIC,04 Dec 2017,L1836621,S40896383
